id,cname,party,primary,votes
1-1,Cathy DAY,ALP,0,0
1-2,Taimus WERNER-GIBBINGS,ALP,0,0
1-3,Joy BURCH,ALP,0,0
1-4,Mick GENTLEMAN,ALP,0,0
1-5,Brendan FORDE,ALP,0,0
2-1,Robyn SOXSMITH,AJP,0,0
2-2,Jannah FAHIZ,AJP,0,0
3-1,Johnathan DAVIS,GREEN,0,0
3-2,Sue ELLERMAN,GREEN,0,0
3-3,Laura NUTTALL,GREEN,0,0
4-1,Mark PARTON,LIB,0,0
4-2,James DANIELS,LIB,0,0
4-3,Jane HIATT,LIB,0,0
4-4,Andrew WALL,LIB,0,0
4-5,Nicole LAWDER,LIB,0,0
5-1,Jacob GOWOR,LDP,0,0
5-2,Matthew KNIGHT,LDP,0,0
6-1,Andrew CLAPHAM,SUST,0,0
6-2,Bruce WILLETT,SUST,0,0
7-1,Greg BAYNHAM,SFF,0,0
7-2,Adrian OLLEY,SFF,0,0
8-1,Scott SANDFORD,FED,0,0
8-2,Jason POTTER,FED,0,0
